 demo                      SWAT+ Jun 18 2024        MODULAR Rev 2024.61.3-29-g03b9ecd                     
      year      plant_no        plant_name  harv_area(ha)  
        1975           1 corn               12.06000       77.08282       6.391610    
        1975           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1976           1 corn               12.06000       18.00194       1.492698    
        1976           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1977           1 corn               12.06000       25.62273       2.124604    
        1977           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1978           1 corn               12.06000       11.09196      0.9197309    
        1978           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1979           1 corn               12.06000       10.15250      0.8418328    
        1979           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1980           1 corn               12.06000       6.518980      0.5405455    
        1980           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1981           1 corn               12.06000       6.161150      0.5108747    
        1981           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1982           1 corn               12.06000       8.443037      0.7000859    
        1982           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1983           1 corn               12.06000       9.829060      0.8150132    
        1983           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1984           1 corn               12.06000       8.485140      0.7035770    
        1984           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1985           1 corn               12.06000       7.441988      0.6170802    
        1985           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1986           1 corn               12.06000       9.684513      0.8030275    
        1986           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1987           1 corn               12.06000       9.990582      0.8284063    
        1987           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1988           1 corn               12.06000       5.306448      0.4400039    
        1988           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1989           1 corn               12.06000       5.476776      0.4541273    
        1989           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1990           1 corn               12.06000       11.09008      0.9195750    
        1990           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1991           1 corn               12.06000       6.995178      0.5800313    
        1991           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1992           1 corn               12.06000       9.182755      0.7614224    
        1992           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1993           1 corn               12.06000       12.62481       1.046833    
        1993           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1994           1 corn               12.06000       8.182080      0.6784477    
        1994           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1995           1 corn              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1995           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1996           1 corn               12.06000       14.47535       1.200278    
        1996           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1997           1 corn               12.06000       7.951802      0.6593533    
        1997           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1998           1 corn               12.06000       10.43848      0.8655455    
        1998           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        1999           1 corn               12.06000       8.549413      0.7089065    
        1999           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        2000           1 corn               12.06000       4.207386      0.3488711    
        2000           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        2001           1 corn               12.06000       7.177809      0.5951748    
        2001           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        2002           1 corn              0.0000000E+00  0.0000000E+00  0.0000000E+00
        2002           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        2003           1 corn               12.06000       13.52734       1.121670    
        2003           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        2004           1 corn               12.06000       8.473468      0.7026092    
        2004           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        2005           1 corn               12.06000       7.415470      0.6148813    
        2005           2 soyb              0.0000000E+00  0.0000000E+00  0.0000000E+00
        2006           1 corn               12.06000       8.361655      0.6933379    
