 demo                      SWAT+ 2025-02-26        MODULAR Rev 2025.unknown                               
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   366    12    31  2020       1    corn                                            12194.253    5487.414     121.943      19.511
   366    12    31  2020       1    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       2    corn                                            12590.862    5665.889     125.909      20.145
   366    12    31  2020       2    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       3    corn                                            12209.347    5494.206     122.093      19.535
   366    12    31  2020       3    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       4    corn                                            12221.860    5499.836     122.219      19.555
   366    12    31  2020       4    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       5    corn                                            12220.706    5499.317     122.207      19.553
   366    12    31  2020       5    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       6    corn                                            12237.837    5507.026     122.378      19.581
   366    12    31  2020       6    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       7    corn                                            12184.475    5483.014     121.845      19.495
   366    12    31  2020       7    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       8    corn                                            12432.483    5594.617     124.325      19.892
   366    12    31  2020       8    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       9    corn                                            12255.762    5515.092     122.558      19.609
   366    12    31  2020       9    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020      10    corn                                            12344.149    5554.867     123.441      19.751
   366    12    31  2020      10    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020      11    corn                                            12573.062    5657.878     125.731      20.117
   366    12    31  2020      11    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020      12    corn                                            12395.609    5578.023     123.956      19.833
   366    12    31  2020      12    soyb                                                0.000       0.000       0.000       0.000
