 demo                     
  SWAT+ 2024-08-27        MODULAR Rev 2024.61.0.1-33-g68b1328                   
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   365    12    31  1975       1    corn                        0.000       0.000       0.000       0.000
   365    12    31  1975       1    soyb                        0.000       0.000       0.000       0.000
   365    12    31  1975       2    corn                        0.000       0.000       0.000       0.000
   365    12    31  1975       2    soyb                        0.000       0.000       0.000       0.000
   365    12    31  1975       3    corn                        0.000       0.000       0.000       0.000
   365    12    31  1975       3    soyb                        0.000       0.000       0.000       0.000
   365    12    31  1975       4    corn                        0.000       0.000       0.000       0.000
   365    12    31  1975       4    soyb                        0.000       0.000       0.000       0.000
   365    12    31  1975       5    corn                        0.000       0.000       0.000       0.000
   365    12    31  1975       5    soyb                        0.000       0.000       0.000       0.000
   365    12    31  1975       6    corn                        0.000       0.000       0.000       0.000
   365    12    31  1975       6    soyb                        0.000       0.000       0.000       0.000
   365    12    31  1975       7    corn                        0.000       0.000       0.000       0.000
   365    12    31  1975       7    soyb                        0.000       0.000       0.000       0.000
   365    12    31  1975       8    corn                        0.000       0.000       0.000       0.000
   365    12    31  1975       8    soyb                        0.000       0.000       0.000       0.000
   365    12    31  1975       9    corn                        0.000       0.000       0.000       0.000
   365    12    31  1975       9    soyb                        0.000       0.000       0.000       0.000
   365    12    31  1975      10    corn                        0.000       0.000       0.000       0.000
   365    12    31  1975      10    soyb                        0.000       0.000       0.000       0.000
   365    12    31  1975      11    corn                        0.000       0.000       0.000       0.000
   365    12    31  1975      11    soyb                        0.000       0.000       0.000       0.000
   365    12    31  1975      12    corn                        0.000       0.000       0.000       0.000
   365    12    31  1975      12    soyb                        0.000       0.000       0.000       0.000
   366    12    31  1976       1    corn                        0.000       0.000       0.000       0.000
   366    12    31  1976       1    soyb                        0.000       0.000       0.000       0.000
   366    12    31  1976       2    corn                        0.000       0.000       0.000       0.000
   366    12    31  1976       2    soyb                        0.000       0.000       0.000       0.000
   366    12    31  1976       3    corn                        0.000       0.000       0.000       0.000
   366    12    31  1976       3    soyb                        0.000       0.000       0.000       0.000
   366    12    31  1976       4    corn                        0.000       0.000       0.000       0.000
   366    12    31  1976       4    soyb                        0.000       0.000       0.000       0.000
   366    12    31  1976       5    corn                        0.000       0.000       0.000       0.000
   366    12    31  1976       5    soyb                        0.000       0.000       0.000       0.000
   366    12    31  1976       6    corn                        0.000       0.000       0.000       0.000
