 demo                      SWAT+ 2025-02-26        MODULAR Rev 2025.unknown                               
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn    plant_cov       mgt_ops                   
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
   366    12    31  2020       1       1  hru0001                0.039       0.229       0.000       0.041       0.067       0.003       0.000       0.003       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       2       1  hru0002                0.024       0.185       0.000       0.032       2.615       0.003       0.000       0.003       0.000       0.008       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       3       1  hru0003                0.038       0.324       0.000       0.069       0.087       0.034       0.000       0.020       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       4       1  hru0004                0.037       0.347       0.000       0.070       0.094       0.033       0.000       0.020       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       5       1  hru0005                0.038       0.330       0.000       0.078       0.092       0.039       0.000       0.022       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       6       1  hru0006                0.056       0.534       0.000       0.082       0.102       0.047       0.000       0.040       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       7       1  hru0007                0.059       0.367       0.000       0.040       0.064       0.002       0.000       0.004       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       8       1  hru0008                0.045       0.417       0.000       0.039       0.098       0.003       0.000       0.005       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       9       1  hru0009                0.055       0.451       0.000       0.074       0.104       0.031       0.000       0.028       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020      10       1  hru0010                0.050       0.421       0.000       0.059       0.096       0.023       0.000       0.021       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020      11       1  hru0011                0.039       0.290       0.000       0.057       1.381       0.022       0.000       0.018       0.000       0.004       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020      12       1  hru0012                0.048       0.361       0.000       0.057       0.116       0.022       0.000       0.020       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
