 demo                      SWAT+ 2025-02-26        MODULAR Rev 2025.unknown                               
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwsoiln          gwsoilp      plant_cov       mgt_ops                       
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
   366    12    31  2020       1       1  hru0001        0.000       0.000      12.735      10.415            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          208.742           37.768            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       2       1  hru0002        0.000       0.000      20.116      16.329            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          213.255           38.556            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       3       1  hru0003        0.000       0.000      26.132      21.115            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          208.929           37.801            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       4       1  hru0004        0.000       0.000      26.344      21.285            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          209.062           37.824            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       5       1  hru0005        0.000       0.000      28.034      22.635            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          209.061           37.825            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       6       1  hru0006        0.000       0.000      30.132      24.301            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          209.244           37.857            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       7       1  hru0007        0.000       0.000      11.726       9.607            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          208.623           37.747            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       8       1  hru0008        0.000       0.000      15.497      12.625            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          211.491           38.250            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       9       1  hru0009        0.000       0.000      26.941      21.757            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          209.433           37.890            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020      10       1  hru0010        0.000       0.000      25.073      20.270            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          210.449           38.067            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020      11       1  hru0011        0.000       0.000      32.772      26.436            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          213.142           38.540            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020      12       1  hru0012        0.000       0.000      26.200      21.173            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          211.069           38.177            0.000            0.000       cosy_comm       mgt_01                        
