 demo                      SWAT+ 2025-02-26        MODULAR Rev 2025.unknown                               
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro   plant_cov       mgt_ops                    
                                                             m**2/m**2        kgha        kgha        kgha        degc        ----        ----        ----        ----        ----        ----        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
   366    12    31  2020       1       1  hru0001                1.583    8066.058   11655.738    2681.145      12.752      19.081       0.000      13.610       0.000       0.791       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       2       1  hru0002                1.587    8214.047   12034.832    2726.083      12.755      17.565       0.000      13.610       0.002       0.740       0.000       0.000     109.255       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       3       1  hru0003                1.583    8073.093   11670.165    2682.949      12.753      19.007       0.000      13.610       0.000       0.717       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       4       1  hru0004                1.583    8077.174   11682.127    2683.930      12.753      18.968       0.000      13.610       0.000       0.717       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       5       1  hru0005                1.583    8077.618   11681.022    2684.191      12.753      18.963       0.000      13.610       0.000       0.717       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       6       1  hru0006                1.583    8084.319   11697.396    2686.083      12.753      18.896       0.000      13.610       0.000       0.717       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       7       1  hru0007                1.582    8061.570   11646.392    2680.131      12.752      19.129       0.000      13.610       0.000       0.848       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       8       1  hru0008                1.585    8159.622   11883.447    2708.432      12.752      18.170       0.000      13.610       0.000       0.775       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       9       1  hru0009                1.584    8091.708   11714.530    2687.789      12.753      18.821       0.000      13.610       0.000       0.717       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020      10       1  hru0010                1.584    8126.057   11799.015    2695.787      12.754      18.489       0.000      13.610       0.000       0.717       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020      11       1  hru0011                1.588    8214.567   12017.817    2730.347      12.752      17.581       0.000      13.610       0.004       0.718       0.000       0.000      65.932       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020      12       1  hru0012                1.586    8147.802   11848.202    2701.414      12.754      18.277       0.000      13.610       0.000       0.718       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
