 demo                      SWAT+ 2025-02-26        MODULAR Rev 2025.unknown                               
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor   plant_cov       mgt_ops                    
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   366    12    31  2020       1       1  hru0001              952.607     110.345     109.843      40.177       0.020      40.197       0.000     912.152       0.000     496.384     415.768      40.177      68.298      46.596      58.494      83.388      24.939       0.000       0.000       0.455    1261.918       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.258       0.204       0.571       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       2       1  hru0002              952.607     110.345     109.843      28.514       0.090      28.603       0.357     923.372       0.000     507.260     416.112      28.513      65.591      46.596      59.258      94.180      25.255       0.000       0.000       0.455    1261.918       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.275       0.145       2.535       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       3       1  hru0003              952.607     110.345     109.843      39.783       0.027      39.810       0.000     912.539       0.000     496.873     415.666      39.783      68.202      46.596      58.524      83.703      24.835       0.000       0.000       0.455    1261.918       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.259       0.202       0.762       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       4       1  hru0004              952.607     110.345     109.843      39.263       0.020      39.283       0.000     913.065       0.000     497.257     415.809      39.263      68.085      46.596      58.554      84.009      24.966       0.000       0.000       0.455    1261.918       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.260       0.199       0.560       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       5       1  hru0005              952.607     110.345     109.843      39.419       0.028      39.446       0.000     912.902       0.000     497.233     415.669      39.418      68.121      46.596      58.545      83.958      24.857       0.000       0.000       0.455    1261.918       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.260       0.200       0.783       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       6       1  hru0006              952.607     110.345     109.843      38.803       0.025      38.828       0.000     913.520       0.000     497.761     415.759      38.802      67.979      46.596      58.579      84.365      24.910       0.000       0.000       0.455    1261.918       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.260       0.197       0.703       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       7       1  hru0007              952.607     110.345     109.843      40.456       0.018      40.474       0.000     911.876       0.000     496.083     415.792      40.456      68.354      46.596      58.475      83.184      24.991       0.000       0.000       0.455    1261.918       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.258       0.205       0.497       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       8       1  hru0008              952.607     110.345     109.843      32.797       0.026      32.824       0.000     919.517       0.000     503.391     416.126      32.797      66.666      46.596      58.884      89.647      25.321       0.000       0.000       0.455    1261.918       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.267       0.166       0.747       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       9       1  hru0009              952.607     110.345     109.843      38.319       0.033      38.352       0.000     913.995       0.000     498.294     415.701      38.319      67.867      46.596      58.610      84.744      24.828       0.000       0.000       0.455    1261.918       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.261       0.194       0.942       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
