 Osu                      
  SWAT+ Mar 18 2022    MODULAR Rev 2020.60.5.4                                  
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   365    12    31  2022       1    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022       2    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022       3    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022       4    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022       5    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022       6    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022       7    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022       8    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022       9    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022      10    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022      11    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022      12    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      13    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      14    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      15    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      16    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      17    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      18    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      19    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      20    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      21    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      22    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022      23    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022      24    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022      25    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022      26    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022      27    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022      28    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022      29    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022      30    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022      31    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022      32    agrl                       79.105      35.597       1.574       0.253
   365    12    31  2022      33    agrl                       80.323      36.146       1.598       0.257
   365    12    31  2022      34    agrl                      277.604     124.922       5.524       0.888
   365    12    31  2022      35    agrl                      238.556     107.350       4.747       0.763
   365    12    31  2022      36    agrl                      198.171      89.177       3.944       0.634
   365    12    31  2022      37    agrl                      416.857     187.586       8.295       1.334
   365    12    31  2022      38    agrl                      409.692     184.361       8.153       1.311
   365    12    31  2022      39    agrl                      269.946     121.476       5.372       0.864
   365    12    31  2022      40    agrl                      273.704     123.167       5.447       0.876
   365    12    31  2022      41    agrl                      734.633     330.585      14.619       2.351
   365    12    31  2022      42    agrl                      721.211     324.545      14.352       2.308
   365    12    31  2022      43    agrl                      398.567     179.355       7.931       1.275
   365    12    31  2022      44    rice140                   216.411      97.385       2.943       0.281
   365    12    31  2022      45    rice140                   243.308     109.489       3.309       0.316
   365    12    31  2022      46    rice140                   204.863      92.189       2.786       0.266
   365    12    31  2022      47    rice140                   218.171      98.177       2.967       0.284
   365    12    31  2022      48    rice140                   222.038      99.917       3.020       0.289
   365    12    31  2022      49    rice140                   161.813      72.816       2.201       0.210
   365    12    31  2022      50    rice140                   152.952      68.829       2.080       0.199
   365    12    31  2022      51    rice140                   154.119      69.353       2.096       0.200
   365    12    31  2022      52    rice140                    76.470      34.411       1.040       0.099
   365    12    31  2022      53    rice140                    76.757      34.541       1.044       0.100
   365    12    31  2022      54    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022      55    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022      56    agrl                       90.868      40.890       1.808       0.291
   365    12    31  2022      57    agrl                       90.960      40.932       1.810       0.291
   365    12    31  2022      58    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022      59    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022      60    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022      61    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      62    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      63    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      64    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      65    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022      66    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022      67    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022      68    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022      69    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022      70    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022      71    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022      72    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022      73    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022      74    rice140                   206.498      92.924       2.808       0.268
   365    12    31  2022      75    rice140                   227.645     102.440       3.096       0.296
   365    12    31  2022      76    rice140                   205.060      92.277       2.789       0.267
   365    12    31  2022      77    rice140                   156.590      70.466       2.130       0.204
   365    12    31  2022      78    rice140                   157.215      70.747       2.138       0.204
   365    12    31  2022      79    rice140                   159.257      71.666       2.166       0.207
   365    12    31  2022      80    rice140                    84.649      38.092       1.151       0.110
   365    12    31  2022      81    rice140                    84.343      37.954       1.147       0.110
   365    12    31  2022      82    wetn                        0.000       0.000       0.000       0.000
   365    12    31  2022      83    wetn                        0.000       0.000       0.000       0.000
   365    12    31  2022      84    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022      85    wetw                        0.000       0.000       0.000       0.000
   365    12    31  2022      86    wetw                        0.000       0.000       0.000       0.000
   365    12    31  2022      87    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022      88    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022      89    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022      90    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      91    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      92    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      93    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      94    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      95    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022      96    agrl                      408.023     183.610       8.120       1.306
   365    12    31  2022      97    agrl                      397.539     178.893       7.911       1.272
   365    12    31  2022      98    agrl                      420.088     189.039       8.360       1.344
   365    12    31  2022      99    agrl                      196.297      88.334       3.906       0.628
   365    12    31  2022     100    agrl                      235.307     105.888       4.683       0.753
   365    12    31  2022     101    agrl                      265.090     119.290       5.275       0.848
   365    12    31  2022     102    agrl                      212.015      95.407       4.219       0.678
   365    12    31  2022     103    agrl                      148.312      66.740       2.951       0.475
   365    12    31  2022     104    agrl                      146.637      65.987       2.918       0.469
   365    12    31  2022     105    agrl                      276.095     124.243       5.494       0.884
   365    12    31  2022     106    agrl                      271.647     122.241       5.406       0.869
   365    12    31  2022     107    agrl                      716.571     322.457      14.260       2.293
   365    12    31  2022     108    rice140                   204.476      92.014       2.781       0.266
   365    12    31  2022     109    rice140                   206.199      92.789       2.804       0.268
   365    12    31  2022     110    rice140                   223.736     100.681       3.043       0.291
   365    12    31  2022     111    rice140                   138.488      62.320       1.883       0.180
   365    12    31  2022     112    rice140                   209.425      94.241       2.848       0.272
   365    12    31  2022     113    rice140                   157.693      70.962       2.145       0.205
   365    12    31  2022     114    rice140                   163.402      73.531       2.222       0.212
   365    12    31  2022     115    wetw                        0.000       0.000       0.000       0.000
   365    12    31  2022     116    wetw                        0.000       0.000       0.000       0.000
   365    12    31  2022     117    wetw                        0.000       0.000       0.000       0.000
   365    12    31  2022     118    wetw                        0.000       0.000       0.000       0.000
   365    12    31  2022     119    wetw                        0.000       0.000       0.000       0.000
   365    12    31  2022     120    wetw                        0.000       0.000       0.000       0.000
   365    12    31  2022     121    wetw                        0.000       0.000       0.000       0.000
   365    12    31  2022     122    wetw                        0.000       0.000       0.000       0.000
   365    12    31  2022     123    wetw                        0.000       0.000       0.000       0.000
   365    12    31  2022     124    wetw                        0.000       0.000       0.000       0.000
   365    12    31  2022     125    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     126    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     127    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     128    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     129    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     130    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     131    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     132    wetn                        0.000       0.000       0.000       0.000
   365    12    31  2022     133    wetn                        0.000       0.000       0.000       0.000
   365    12    31  2022     134    wetn                        0.000       0.000       0.000       0.000
   365    12    31  2022     135    rice140                   123.359      55.512       1.678       0.160
   365    12    31  2022     136    rice140                   125.760      56.592       1.710       0.163
   365    12    31  2022     137    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     138    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     139    urbn_warm                   0.000       0.000       0.000       0.000
   365    12    31  2022     140    urbn_warm                   0.000       0.000       0.000       0.000
   365    12    31  2022     141    agrl                      283.879     127.746       5.649       0.908
   365    12    31  2022     142    agrl                      144.027      64.812       2.866       0.461
   365    12    31  2022     143    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     144    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     145    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     146    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     147    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     148    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     149    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     150    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     151    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     152    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     153    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     154    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     155    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     156    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     157    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     158    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     159    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     160    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     161    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     162    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     163    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     164    wetw                        0.000       0.000       0.000       0.000
   365    12    31  2022     165    wetw                        0.000       0.000       0.000       0.000
   365    12    31  2022     166    wetn                        0.000       0.000       0.000       0.000
   365    12    31  2022     167    wetn                        0.000       0.000       0.000       0.000
   365    12    31  2022     168    wetn                        0.000       0.000       0.000       0.000
   365    12    31  2022     169    wetn                        0.000       0.000       0.000       0.000
   365    12    31  2022     170    rice140                    89.515      40.282       1.217       0.116
   365    12    31  2022     171    rice140                    87.878      39.545       1.195       0.114
   365    12    31  2022     172    rice140                    70.065      31.529       0.953       0.091
   365    12    31  2022     173    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     174    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     175    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     176    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     177    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     178    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     179    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     180    agrl                      100.267      45.120       1.995       0.321
   365    12    31  2022     181    agrl                       97.938      44.072       1.949       0.313
   365    12    31  2022     182    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     183    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     184    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     185    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     186    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     187    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     188    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     189    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     193    urbn_warm                   0.000       0.000       0.000       0.000
   365    12    31  2022     194    urbn_warm                   0.000       0.000       0.000       0.000
   365    12    31  2022     195    urbn_warm                   0.000       0.000       0.000       0.000
   365    12    31  2022     196    urbn_warm                   0.000       0.000       0.000       0.000
   365    12    31  2022     197    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     198    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     199    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     200    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     203    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     204    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     205    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     206    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     207    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     208    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     209    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     210    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     211    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     212    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     213    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     214    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     215    agrl                      409.793     184.407       8.155       1.311
   365    12    31  2022     216    agrl                      418.125     188.156       8.321       1.338
   365    12    31  2022     217    agrl                      397.681     178.956       7.914       1.273
   365    12    31  2022     218    agrl                      720.240     324.108      14.333       2.305
   365    12    31  2022     219    agrl                      742.425     334.091      14.774       2.376
   365    12    31  2022     220    agrl                      689.118     310.103      13.713       2.205
   365    12    31  2022     221    agrl                      278.169     125.176       5.536       0.890
   365    12    31  2022     222    agrl                      238.182     107.182       4.740       0.762
   365    12    31  2022     223    agrl                      196.697      88.514       3.914       0.629
   365    12    31  2022     224    agrl                      272.440     122.598       5.422       0.872
   365    12    31  2022     225    agrl                      269.081     121.086       5.355       0.861
   365    12    31  2022     226    agrl                      210.589      94.765       4.191       0.674
   365    12    31  2022     227    agrl                      212.310      95.540       4.225       0.679
   365    12    31  2022     228    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     229    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     230    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     231    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     232    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     233    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     234    rice140                   383.200     172.440       5.212       0.498
   365    12    31  2022     235    rice140                   393.306     176.988       5.349       0.511
   365    12    31  2022     236    rice140                   399.896     179.953       5.439       0.520
   365    12    31  2022     237    rice140                   204.672      92.102       2.784       0.266
   365    12    31  2022     238    rice140                   213.547      96.096       2.904       0.278
   365    12    31  2022     239    rice140                   238.113     107.151       3.238       0.310
   365    12    31  2022     240    rice140                   159.097      71.594       2.164       0.207
   365    12    31  2022     241    rice140                   159.570      71.807       2.170       0.207
   365    12    31  2022     242    rice140                   189.329      85.198       2.575       0.246
   365    12    31  2022     243    rice140                   194.275      87.424       2.642       0.253
   365    12    31  2022     244    rice140                   267.975     120.589       3.644       0.348
   365    12    31  2022     245    rice140                   268.327     120.747       3.649       0.349
   365    12    31  2022     246    wetw                        0.000       0.000       0.000       0.000
   365    12    31  2022     247    wetw                        0.000       0.000       0.000       0.000
   365    12    31  2022     248    wetw                        0.000       0.000       0.000       0.000
   365    12    31  2022     249    wetw                        0.000       0.000       0.000       0.000
   365    12    31  2022     250    wetw                        0.000       0.000       0.000       0.000
   365    12    31  2022     251    wetn                        0.000       0.000       0.000       0.000
   365    12    31  2022     252    wetn                        0.000       0.000       0.000       0.000
   365    12    31  2022     253    wetn                        0.000       0.000       0.000       0.000
   365    12    31  2022     254    wetn                        0.000       0.000       0.000       0.000
   365    12    31  2022     255    wetn                        0.000       0.000       0.000       0.000
   365    12    31  2022     256    wetn                        0.000       0.000       0.000       0.000
   365    12    31  2022     257    agrl                      143.875      64.744       2.863       0.460
   365    12    31  2022     258    agrl                      145.994      65.697       2.905       0.467
   365    12    31  2022     259    agrl                      107.649      48.442       2.142       0.344
   365    12    31  2022     260    agrl                      221.948      99.877       4.417       0.710
   365    12    31  2022     261    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     262    gras                        0.000       0.000       0.000       0.000
   365    12    31  2022     263    rice140                    88.745      39.935       1.207       0.115
   365    12    31  2022     264    rice140                   170.236      76.606       2.315       0.221
   365    12    31  2022     265    rice140                   169.345      76.205       2.303       0.220
   365    12    31  2022     266    rice140                   111.359      50.112       1.514       0.145
   365    12    31  2022     267    rice140                   111.782      50.302       1.520       0.145
   365    12    31  2022     268    rice140                   133.923      60.266       1.821       0.174
   365    12    31  2022     269    rice140                   128.823      57.970       1.752       0.167
   365    12    31  2022     270    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     271    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     272    frst_tems                   0.000       0.000       0.000       0.000
   365    12    31  2022     273    urbn_warm                   0.000       0.000       0.000       0.000
   365    12    31  2022     274    urbn_warm                   0.000       0.000       0.000       0.000
   365    12    31  2022     275    urbn_warm                   0.000       0.000       0.000       0.000
   365    12    31  2022     276    agrl                      306.211     137.795       6.094       0.980
   365    12    31  2022     277    agrl                      306.811     138.065       6.106       0.982
   365    12    31  2022     278    agrl                      305.391     137.426       6.077       0.977
   365    12    31  2022     279    agrl                       79.433      35.745       1.581       0.254
   365    12    31  2022     280    agrl                       80.436      36.196       1.601       0.257
   365    12    31  2022     281    agrl                       80.295      36.133       1.598       0.257
   365    12    31  2022     282    agrl                      185.968      83.686       3.701       0.595
   365    12    31  2022     283    agrl                      198.445      89.300       3.949       0.635
   365    12    31  2022     284    agrl                      148.912      67.011       2.963       0.477
   365    12    31  2022     285    agrl                      139.033      62.565       2.767       0.445
   365    12    31  2022     286    agrl                      133.279      59.975       2.652       0.426
   365    12    31  2022     287    agrl                      348.948     157.027       6.944       1.117
   365    12    31  2022     288    agrl                      348.136     156.661       6.928       1.114
   365    12    31  2022     289    agrl                      278.323     125.245       5.539       0.891
   365    12    31  2022     290    agrl                      234.445     105.500       4.665       0.750
   365    12    31  2022     291    agrl                      198.088      89.140       3.942       0.634
   365    12    31  2022     292    agrl                      402.310     181.039       8.006       1.287
   365    12    31  2022     293    agrl                      388.652     174.893       7.734       1.244
   365    12    31  2022     294    agrl                      740.382     333.172      14.734       2.369
   365    12    31  2022     295    agrl                      717.035     322.666      14.269       2.295
   365    12    31  2022     296    agrl                      690.155     310.570      13.734       2.208
   365    12    31  2022     297    agrl                       74.300      33.435       1.479       0.238
   365    12    31  2022     298    agrl                       88.077      39.635       1.753       0.282
   365    12    31  2022     299    agrl                       72.489      32.620       1.443       0.232
   365    12    31  2022     300    agrl                      409.944     184.475       8.158       1.312
   365    12    31  2022     301    agrl                      417.345     187.805       8.305       1.336
   365    12    31  2022     302    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     303    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     304    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     305    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     306    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     307    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     308    frse_tecf                   0.000       0.000       0.000       0.000
   365    12    31  2022     309    frse_tecf                   0.000       0.000       0.000       0.000
