          YR    CO2(ppm)
        1975   400.0000    
        1976   400.0000    
        1977   400.0000    
        1978   400.0000    
        1979   400.0000    
        1980   400.0000    
        1981   400.0000    
        1982   400.0000    
        1983   400.0000    
        1984   400.0000    
        1985   400.0000    
        1986   400.0000    
        1987   400.0000    
        1988   400.0000    
        1989   400.0000    
        1990   400.0000    
        1991   400.0000    
        1992   400.0000    
        1993   400.0000    
        1994   400.0000    
        1995   400.0000    
        1996   400.0000    
        1997   400.0000    
        1998   400.0000    
        1999   400.0000    
        2000   400.0000    
        2001   400.0000    
        2002   400.0000    
        2003   400.0000    
        2004   400.0000    
        2005   400.0000    
        2006   400.0000    
        2007   400.0000    
        2008   400.0000    
        2009   400.0000    
        2010   400.0000    
        2011   400.0000    
        2012   400.0000    
        2013   400.0000    
        2014   400.0000    
        2015   400.0000    
        2016   400.0000    
        2017   400.0000    
        2018   400.0000    
        2019   400.0000    
        2020   400.0000    
