 demo                      SWAT+ 2024-08-27        MODULAR Rev 2024.61.0.1-33-g68b1328                    
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   366    12    31  2020       1       1  hru0001              952.607     110.345     109.999      29.899       0.019      29.918       0.000     923.132       0.000     489.737     433.396      29.898      65.620      46.596      26.238      44.773      17.140       0.000       0.000       0.455    1732.266       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.442       0.152       0.538       0.000       0.000       0.000       0.000
   366    12    31  2020       2       1  hru0002              952.607     110.345     109.999      24.082       0.069      24.151       0.000     928.892       0.000     487.802     441.090      24.082      64.508      46.596      26.557      43.738      16.532       0.000       0.000       0.455    1732.266       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.435       0.122       1.949       0.000       0.000       0.000       0.000
   366    12    31  2020       3       1  hru0003              952.607     110.345     109.999      32.840       0.027      32.866       0.000     920.133       0.000     508.138     411.995      32.839      66.100      46.596      28.570      55.183      19.711       0.000       0.000       0.455    1732.266       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.392       0.166       0.757       0.000       0.000       0.000       0.000
   366    12    31  2020       4       1  hru0004              952.607     110.345     109.999      32.436       0.019      32.455       0.000     920.543       0.000     508.472     412.072      32.435      66.013      46.596      28.622      55.272      19.783       0.000       0.000       0.455    1732.266       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.390       0.164       0.552       0.000       0.000       0.000       0.000
   366    12    31  2020       5       1  hru0005              952.607     110.345     109.999      33.134       0.028      33.162       0.000     919.826       0.000     511.806     408.020      33.134      66.173      46.596      29.097      57.478      20.162       0.000       0.000       0.455    1732.266       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.380       0.168       0.783       0.000       0.000       0.000       0.000
   366    12    31  2020       6       1  hru0006              952.607     110.345     109.999      32.666       0.025      32.691       0.000     920.296       0.000     512.407     407.890      32.666      66.076      46.596      29.136      57.726      20.232       0.000       0.000       0.455    1732.266       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.379       0.166       0.701       0.000       0.000       0.000       0.000
   366    12    31  2020       7       1  hru0007              952.607     110.345     109.999      30.056       0.016      30.072       0.000     922.978       0.000     489.326     433.652      30.056      65.651      46.596      26.227      44.590      17.119       0.000       0.000       0.455    1732.266       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.442       0.152       0.465       0.000       0.000       0.000       0.000
   366    12    31  2020       8       1  hru0008              952.607     110.345     109.999      25.279       0.023      25.302       0.000     927.755       0.000     481.127     446.628      25.278      64.753      46.596      25.948      40.598      15.826       0.000       0.000       0.455    1732.266       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.449       0.128       0.656       0.000       0.000       0.000       0.000
   366    12    31  2020       9       1  hru0009              952.607     110.345     109.999      32.410       0.033      32.444       0.000     920.541       0.000     513.738     406.803      32.410      66.027      46.596      29.240      58.455      20.291       0.000       0.000       0.455    1732.266       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.377       0.164       0.946       0.000       0.000       0.000       0.000
   366    12    31  2020      10       1  hru0010              952.607     110.345     109.999      30.029       0.024      30.053       0.000     922.940       0.000     512.968     409.972      30.029      65.482      46.596      28.889      57.584      20.114       0.000       0.000       0.455    1732.266       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.385       0.152       0.673       0.000       0.000       0.000       0.000
   366    12    31  2020      11       1  hru0011              952.607     110.345     109.999      26.323       0.081      26.404       0.030     926.539       0.000     524.462     402.077      26.323      64.905      46.596      29.780      63.394      20.805       0.000       0.000       0.455    1732.266       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.365       0.133       2.290       0.000       0.000       0.000       0.000
   366    12    31  2020      12       1  hru0012              952.607     110.345     109.999      29.231       0.039      29.270       0.000     923.719       0.000     515.613     408.106      29.230      65.323      46.596      29.049      59.006      20.223       0.000       0.000       0.455    1732.266       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.381       0.148       1.109       0.000       0.000       0.000       0.000
